anime id,naslov,ocena,tip,število epizod,leto izdaje,število članov
32547,Non Non Biyori Repeat: Hotaru ga Tanoshinda,7.87,OVA,1,2016,52724
31490,One Piece Film: Gold,7.87,Movie,1,2016,242107
2159,Ookiku Furikabutte,7.87,TV,25,2007,105135
322,Paradise Kiss,7.87,TV,12,2005,250128
957,Saiunkoku Monogatari,7.87,TV,39,2006,102873
11813,Shijou Saikyou no Deshi Kenichi OVA,7.87,OVA,11,2012,61233
995,Tennis no Oujisama: Zenkoku Taikai-hen,7.87,OVA,13,2006,48913
2752,Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal,7.87,OVA,6,2007,40032
57183,Wu Dong Qian Kun 4th Season,7.87,ONA,12,2023,2601
58930,Yuanshen: Weixing Zhi Lu,7.87,ONA,1,2024,3749
55153,Yuzuki-san Chi no Yonkyoudai.,7.87,TV,12,2023,69282
41782,BanG Dream! Movie: Poppin' Dream!,7.87,Movie,1,2022,12352
12113,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,7.87,Movie,1,2012,227739
10012,Carnival Phantasm,7.87,OVA,12,2011,206897
59205,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,7.87,TV,12,2025,94749
14353,Death Billiards,7.87,Movie,1,2013,248908
2471,Doraemon (1979),7.87,TV,1787,1979,69787
26213,Free! Eternal Summer: Kindan no All Hard!,7.87,Special,1,2015,97728
934,Higurashi no Naku Koro ni,7.87,TV,26,2006,841131
38408,Boku no Hero Academia 4th Season,7.86,TV,25,2019,1842882
51680,Cool Doji Danshi,7.86,TV,24,2022,108304
2924,ef: A Tale of Memories.,7.86,TV,12,2007,265500
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,7.86,Movie,1,1988,43560
7645,Heartcatch Precure!,7.86,TV,49,2010,36038
35082,Hibike! Euphonium Movie 2: Todoketai Melody,7.86,Movie,1,2017,35233
5680,K-On!,7.86,TV,13,2009,1102474
10080,Kami nomi zo Shiru Sekai II,7.86,TV,12,2011,404312
16782,Kotonoha no Niwa,7.86,Movie,1,2013,911257
55855,Kuroshitsuji: Kishuku Gakkou-hen,7.86,TV,11,2024,101883
50403,Liang Bu Yi 2nd Season,7.86,ONA,24,2022,6571
34021,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,7.86,Movie,1,2017,44389
25517,Magic Kaito 1412,7.86,TV,24,2014,133074
4985,Mahou Shoujo Lyrical Nanoha: The Movie 1st,7.86,Movie,1,2010,32992
779,Meitantei Conan Movie 01: Tokei Jikake no Matenrou,7.86,Movie,1,1997,77119
38770,Meitantei Conan Movie 23: Konjou no Fist,7.86,Movie,1,2019,33059
795,Oniisama e...,7.86,TV,39,1991,53437
6007,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,7.86,OVA,1,2009,179067
33926,Quanzhi Gaoshou,7.86,ONA,12,2017,387352
58059,Tsue to Tsurugi no Wistoria,7.86,TV,12,2024,317665
49570,Wu Dong Qian Kun 3rd Season,7.86,ONA,12,2022,5168
37936,Wu Shan Wu Xing (2020),7.86,ONA,3,2020,70633
6377,Zan Sayonara Zetsubou Sensei,7.86,TV,13,2009,112120
2605,Sayonara Zetsubou Sensei,7.85,TV,12,2007,359972
23775,Shingeki no Kyojin Movie 1: Guren no Yumiya,7.85,Movie,1,2014,139776
3588,Soul Eater,7.85,TV,51,2008,1718920
2158,Terra e... (TV),7.85,TV,24,2007,65648
42249,Tokyo Revengers,7.85,TV,24,2021,1360659
41389,Tonikaku Kawaii,7.85,TV,12,2020,808230
949,Top wo Nerae! Gunbuster,7.85,OVA,6,1988,139566
54790,Undead Girl Murder Farce,7.85,TV,13,2023,175431
6586,Yume-iro Pâtissière,7.85,TV,50,2009,89115
23225,Yuru Yuri Nachuyachumi!,7.85,OVA,1,2015,77766
54846,Aishang Ta de Liyou,7.85,ONA,22,2023,45975
283,Akage no Anne,7.85,TV,50,1979,50768
30415,High☆Speed! Movie: Free! Starting Days,7.85,Movie,1,2015,98011
37029,Hoozuki no Reitetsu 2nd Season: Sono Ni,7.85,TV,13,2018,31541
9734,K-On!!: Keikaku!,7.85,Special,1,2011,132698
6862,K-On!: Live House!,7.85,Special,1,2010,168964
49828,Kidou Senshi Gundam: Suisei no Majo,7.85,TV,12,2022,178358
18429,Lupin III vs. Meitantei Conan: The Movie,7.85,Movie,1,2013,36035
54764,Madogiwa no Totto-chan,7.85,Movie,1,2023,4853
35798,Meitantei Conan Movie 22: Zero no Shikkounin,7.85,Movie,1,2018,34676
36215,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,7.85,TV Special,1,2017,46507
50739,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,7.85,TV,12,2023,394808
42745,Machikado Mazoku: 2-choume,7.84,TV,12,2022,75078
30885,Noragami Aragoto OVA,7.84,OVA,2,2015,268839
