naslov,povezava,ocena,studii,tip,epizode,zvrsti,leto izdaje
Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren,9.29,['Madhouse'],TV,28,"['Adventure', 'Drama', 'Fantasy']",2023
Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,9.10,['Bones'],TV,64,"['Action', 'Adventure', 'Drama', 'Fantasy']",2009
Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,9.07,['White Fox'],TV,24,"['Drama', 'Sci-Fi', 'Suspense']",2011
Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,9.05,['Wit Studio'],TV,10,"['Action', 'Drama', 'Suspense']",2019
Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final,9.05,['Bandai Namco Pictures'],Movie,1,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",2021
Gintama°,https://myanimelist.net/anime/28977/Gintama°,9.05,['Bandai Namco Pictures'],TV,51,"['Action', 'Comedy', 'Sci-Fi']",2015
Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,9.03,['Madhouse'],TV,148,"['Action', 'Adventure', 'Fantasy']",2011
One Piece Fan Letter,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,9.03,['Toei Animation'],TV Special,1,"['Action', 'Adventure', 'Fantasy']",2024
Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,9.02,"['K-Factory', 'Kitty Film Mitaka Studio']",OVA,110,"['Drama', 'Sci-Fi']",1988
Gintama',https://myanimelist.net/anime/9969/Gintama,9.02,['Sunrise'],TV,51,"['Action', 'Comedy', 'Sci-Fi']",2011
Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen,9.02,['Sunrise'],TV,13,"['Action', 'Comedy', 'Sci-Fi']",2012
Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,8.99,['Studio Pierrot'],TV,13,"['Action', 'Adventure', 'Supernatural']",2022
Gintama.,https://myanimelist.net/anime/34096/Gintama,8.98,['Bandai Namco Pictures'],TV,12,"['Action', 'Comedy', 'Sci-Fi']",2017
Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,8.97,['A-1 Pictures'],TV,13,"['Comedy', 'Romance']",2022
Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,8.95,['TMS Entertainment'],TV,13,"['Drama', 'Romance', 'Supernatural']",2021
Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,8.93,['Kyoto Animation'],TV,24,"['Drama', 'Romance']",2008
Gintama,https://myanimelist.net/anime/918/Gintama,8.93,['Sunrise'],TV,201,"['Action', 'Comedy', 'Sci-Fi']",2006
Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi,8.93,['Kyoto Animation'],Movie,1,"['Award Winning', 'Drama']",2016
Kusuriya no Hitorigoto 2nd Season,https://myanimelist.net/anime/58514/Kusuriya_no_Hitorigoto_2nd_Season,8.91,"['OLM', 'TOHO animation STUDIO']",TV,24,"['Drama', 'Mystery']",2025
Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,8.91,['Sunrise'],TV,25,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",2008
3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,8.90,['Shaft'],TV,22,[],2017
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,8.90,['Sunrise'],Movie,1,"['Action', 'Comedy', 'Sci-Fi']",2013
Monster,https://myanimelist.net/anime/19/Monster,8.89,['Madhouse'],TV,74,"['Drama', 'Mystery', 'Suspense']",2004
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama_Shirogane_no_Tamashii-hen_-_Kouhan-sen,8.88,['Bandai Namco Pictures'],TV,14,"['Action', 'Comedy', 'Sci-Fi']",2018
Takopii no Genzai,https://myanimelist.net/anime/60489/Takopii_no_Genzai,8.88,['Enishiya'],ONA,6,"['Drama', 'Sci-Fi']",2025
Shingeki no Kyojin: The Final Season - Kanketsu-hen,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,8.86,['MAPPA'],TV Special,2,"['Action', 'Drama', 'Suspense']",2023
Kusuriya no Hitorigoto,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,8.86,"['OLM', 'TOHO animation STUDIO']",TV,24,"['Drama', 'Mystery']",2023
Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,8.86,['Shaft'],TV Special,7,"['Comedy', 'Mystery', 'Supernatural']",2017
Violet Evergarden Movie,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,8.84,['Kyoto Animation'],Movie,1,"['Award Winning', 'Drama']",2020
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,https://myanimelist.net/anime/59571/Shingeki_no_Kyojin_Movie__Kanketsu-hen_-_The_Last_Attack,8.83,['MAPPA'],Movie,1,"['Action', 'Drama', 'Suspense']",2024
Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,8.83,['CoMix Wave Films'],Movie,1,"['Award Winning', 'Drama']",2016
Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,8.83,"['Studio Pierrot', 'Studio Signpost']",TV,26,[],2020
Vinland Saga Season 2,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,8.82,['MAPPA'],TV,24,"['Action', 'Adventure', 'Drama']",2023
Gintama. Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama_Shirogane_no_Tamashii-hen,8.81,['Bandai Namco Pictures'],TV,12,"['Action', 'Comedy', 'Sci-Fi']",2018
Kimetsu no Yaiba Movie: Mugen Jou-hen,https://myanimelist.net/anime/59192/Kimetsu_no_Yaiba_Movie__Mugen_Jou-hen,8.79,['ufotable'],Movie,3,"['Action', 'Supernatural']",2025
Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,8.78,['Shaft'],Movie,1,"['Action', 'Mystery', 'Supernatural']",2017
Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,8.78,['Bones'],TV,13,"['Action', 'Comedy', 'Supernatural']",2019
Hajime no Ippo,https://myanimelist.net/anime/263/Hajime_no_Ippo,8.78,['Madhouse'],TV,75,[],2000
Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,8.78,['MAPPA'],TV,16,"['Action', 'Drama', 'Suspense']",2020
Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,8.77,['Studio Ghibli'],Movie,1,"['Adventure', 'Award Winning', 'Fantasy']",2001
Shingeki no Kyojin: The Final Season Part 2,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,8.77,['MAPPA'],TV,12,"['Action', 'Drama', 'Suspense']",2022
Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,8.77,['Wit Studio'],TV,24,"['Action', 'Adventure', 'Drama']",2019
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,8.77,['Production I.G'],TV,10,[],2016
Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,8.76,['Tokyo Movie Shinsha'],TV,47,"['Drama', 'Sports']",1980
Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,8.76,['Shaft'],TV,26,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",2013
Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock,8.75,['CloverWorks'],TV,12,[],2022
Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,8.75,['Sunrise'],TV,26,"['Action', 'Award Winning', 'Sci-Fi']",1998
Boku no Kokoro no Yabai Yatsu 2nd Season,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season,8.73,['Shin-Ei Animation'],TV,13,"['Comedy', 'Romance']",2024
Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,8.73,['MAPPA'],TV,23,"['Action', 'Supernatural']",2023
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,8.73,['A-1 Pictures'],Movie,1,"['Comedy', 'Drama', 'Romance']",2022
Kingdom 4th Season,https://myanimelist.net/anime/50160/Kingdom_4th_Season,8.73,"['Studio Pierrot', 'Studio Signpost']",TV,26,[],2022
One Piece,https://myanimelist.net/anime/21/One_Piece,8.73,['Toei Animation'],TV,Unknown,"['Action', 'Adventure', 'Fantasy']",1999
Kingdom 5th Season,https://myanimelist.net/anime/53223/Kingdom_5th_Season,8.72,"['Studio Pierrot', 'Studio Signpost']",TV,13,[],2024
Mushishi Zoku Shou 2nd Season,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,8.72,['Artland'],TV,10,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",2014
86 Part 2,https://myanimelist.net/anime/48569/86_Part_2,8.72,['A-1 Pictures'],TV,12,"['Action', 'Drama', 'Sci-Fi']",2021
Hibike! Euphonium 3,https://myanimelist.net/anime/39894/Hibike_Euphonium_3,8.72,['Kyoto Animation'],TV,13,[],2024
Shiguang Dailiren,https://myanimelist.net/anime/44074/Shiguang_Dailiren,8.72,['LAN Studio'],ONA,11,"['Drama', 'Mystery', 'Suspense']",2021
The First Slam Dunk,https://myanimelist.net/anime/45649/The_First_Slam_Dunk,8.72,"['Toei Animation', 'DandeLion Animation Studio']",Movie,1,"['Award Winning', 'Sports']",2022
Kaoru Hana wa Rin to Saku,https://myanimelist.net/anime/59845/Kaoru_Hana_wa_Rin_to_Saku,8.71,['CloverWorks'],TV,13,"['Drama', 'Romance']",2025
Kimetsu no Yaiba: Yuukaku-hen,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,8.71,['ufotable'],TV,11,"['Action', 'Supernatural']",2021
Mob Psycho 100 III,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,8.71,['Bones'],TV,12,"['Action', 'Comedy', 'Supernatural']",2022
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,8.70,['Studio Deen'],TV,12,[],2017
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,8.70,['Studio Pierrot'],TV,13,"['Action', 'Adventure', 'Supernatural']",2023
Chi. Chikyuu no Undou ni Tsuite,https://myanimelist.net/anime/52215/Chi_Chikyuu_no_Undou_ni_Tsuite,8.70,['Madhouse'],TV,25,[],2024
Code Geass: Hangyaku no Lelouch,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,8.70,['Sunrise'],TV,25,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",2006
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,8.69,['Studio Deen'],OVA,4,"['Action', 'Drama', 'Romance']",1999
Violet Evergarden,https://myanimelist.net/anime/33352/Violet_Evergarden,8.69,['Kyoto Animation'],TV,13,[],2018
Mo Dao Zu Shi: Wanjie Pian,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,8.68,['B.CMAY PICTURES'],ONA,12,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",2021
Mushishi Zoku Shou,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,8.68,['Artland'],TV,10,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",2014
Great Teacher Onizuka,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,8.68,['Studio Pierrot'],TV,43,[],1999
Bleach: Sennen Kessen-hen - Soukoku-tan,https://myanimelist.net/anime/56784/Bleach__Sennen_Kessen-hen_-_Soukoku-tan,8.67,['Pierrot Films'],TV,14,"['Action', 'Adventure', 'Supernatural']",2024
Grand Blue Season 2,https://myanimelist.net/anime/59986/Grand_Blue_Season_2,8.67,"['Zero-G', 'Liber']",TV,12,[],2025
Hajime no Ippo: New Challenger,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,8.67,['Madhouse'],TV,26,[],2009
Howl no Ugoku Shiro,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,8.67,['Studio Ghibli'],Movie,1,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",2004
Mononoke Hime,https://myanimelist.net/anime/164/Mononoke_Hime,8.67,['Studio Ghibli'],Movie,1,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",1997
Monogatari Series: Off & Monster Season,https://myanimelist.net/anime/57864/Monogatari_Series__Off___Monster_Season,8.66,['Shaft'],ONA,14,"['Comedy', 'Mystery', 'Supernatural']",2024
Ore dake Level Up na Ken Season 2: Arise from the Shadow,https://myanimelist.net/anime/58567/Ore_dake_Level_Up_na_Ken_Season_2__Arise_from_the_Shadow,8.66,['A-1 Pictures'],TV,13,"['Action', 'Adventure', 'Fantasy']",2025
Mushishi,https://myanimelist.net/anime/457/Mushishi,8.65,['Artland'],TV,26,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",2005
Shiguang Dailiren II,https://myanimelist.net/anime/49413/Shiguang_Dailiren_II,8.65,['LAN Studio'],ONA,12,"['Drama', 'Mystery', 'Suspense']",2023
Tian Guan Cifu Er,https://myanimelist.net/anime/50399/Tian_Guan_Cifu_Er,8.65,['Red Dog Culture House'],ONA,12,"['Action', 'Adventure', 'Drama', 'Fantasy']",2023
Shigatsu wa Kimi no Uso,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,8.64,['A-1 Pictures'],TV,22,"['Drama', 'Romance']",2014
Shingeki no Kyojin Season 3,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,8.64,['Wit Studio'],TV,12,"['Action', 'Drama', 'Suspense']",2018
Tengen Toppa Gurren Lagann,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,8.64,['Gainax'],TV,27,"['Action', 'Adventure', 'Award Winning', 'Sci-Fi']",2007
Odd Taxi,https://myanimelist.net/anime/46102/Odd_Taxi,8.64,"['OLM', 'P.I.C.S.']",TV,13,"['Award Winning', 'Drama', 'Mystery', 'Suspense']",2021
Fate/stay night Movie: Heaven's Feel - III. Spring Song,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,8.64,['ufotable'],Movie,1,"['Action', 'Fantasy']",2020
Look Back,https://myanimelist.net/anime/58125/Look_Back,8.63,['Studio DURIAN'],Movie,1,[],2024
Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss,8.63,['Kinema Citrus'],TV,13,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",2017
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,8.63,['Studio Bind'],TV,12,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']",2021
Natsume Yuujinchou Shi,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,8.63,"[""Brain's Base""]",TV,13,"['Slice of Life', 'Supernatural']",2012
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,8.62,['A-1 Pictures'],TV,12,"['Comedy', 'Romance']",2020
Ping Pong the Animation,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation,8.62,['Tatsunoko Production'],TV,11,"['Award Winning', 'Drama', 'Sports']",2014
Uma Musume: Pretty Derby - Shin Jidai no Tobira,https://myanimelist.net/anime/57647/Uma_Musume__Pretty_Derby_-_Shin_Jidai_no_Tobira,8.62,['CygamesPictures'],Movie,1,[],2024
Bungou Stray Dogs 5th Season,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season,8.62,['Bones'],TV,11,"['Action', 'Mystery']",2023
Death Note,https://myanimelist.net/anime/1535/Death_Note,8.62,['Madhouse'],TV,37,"['Supernatural', 'Suspense']",2006
Guimi Zhi Zhu: Xiaochou Pian,https://myanimelist.net/anime/49818/Guimi_Zhi_Zhu__Xiaochou_Pian,8.62,['B.CMAY PICTURES'],ONA,13,"['Action', 'Fantasy', 'Mystery', 'Suspense']",2025
Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,8.62,['Production I.G'],TV,25,[],2015
Cyberpunk: Edgerunners,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners,8.61,['Trigger'],ONA,10,"['Action', 'Sci-Fi']",2022
Haikyuu!! Movie: Gomisuteba no Kessen,https://myanimelist.net/anime/52742/Haikyuu_Movie__Gomisuteba_no_Kessen,8.61,['Production I.G'],Movie,1,[],2024
Hajime no Ippo: Rising,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising,8.61,"['Madhouse', 'MAPPA']",TV,25,[],2013
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,8.61,['Kinema Citrus'],Movie,1,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",2020
Made in Abyss: Retsujitsu no Ougonkyou,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou,8.61,['Kinema Citrus'],TV,12,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",2022
Natsume Yuujinchou Roku,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,8.61,['Shuka'],TV,11,"['Slice of Life', 'Supernatural']",2017
Kenpuu Denki Berserk,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,8.60,['OLM'],TV,25,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",1997
Dungeon Meshi,https://myanimelist.net/anime/52701/Dungeon_Meshi,8.60,['Trigger'],TV,24,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']",2024
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,8.60,['Gainax'],Movie,1,"['Action', 'Sci-Fi']",2009
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,8.59,['CloverWorks'],Movie,1,"['Drama', 'Romance', 'Supernatural']",2019
Suzumiya Haruhi no Shoushitsu,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,8.59,['Kyoto Animation'],Movie,1,"['Award Winning', 'Mystery', 'Sci-Fi', 'Supernatural']",2010
Shin Evangelion Movie:||,https://myanimelist.net/anime/3786/Shin_Evangelion_Movie_||,8.58,['Khara'],Movie,1,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']",2021
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,8.58,['David Production'],TV,39,"['Action', 'Adventure']",2018
Mushishi Zoku Shou: Suzu no Shizuku,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku,8.58,['Artland'],Movie,1,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",2015
Nana,https://myanimelist.net/anime/877/Nana,8.57,['Madhouse'],TV,47,"['Drama', 'Romance']",2006
Natsume Yuujinchou Shichi,https://myanimelist.net/anime/55823/Natsume_Yuujinchou_Shichi,8.57,['Shuka'],TV,12,"['Slice of Life', 'Supernatural']",2024
Kizumonogatari II: Nekketsu-hen,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen,8.56,['Shaft'],Movie,1,"['Action', 'Mystery', 'Supernatural']",2016
Natsume Yuujinchou Go,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,8.56,['Shuka'],TV,11,"['Slice of Life', 'Supernatural']",2016
Natsume Yuujinchou San,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San,8.56,"[""Brain's Base""]",TV,13,"['Slice of Life', 'Supernatural']",2011
Ookami Kodomo no Ame to Yuki,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki,8.56,['Studio Chizu'],Movie,1,"['Award Winning', 'Slice of Life', 'Supernatural']",2012
Shingeki no Kyojin,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,8.56,['Wit Studio'],TV,25,"['Action', 'Award Winning', 'Drama', 'Suspense']",2013
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni,8.56,"['Gainax', 'Production I.G']",Movie,1,"['Action', 'Avant Garde', 'Drama', 'Sci-Fi', 'Suspense']",1997
[Oshi no Ko],https://myanimelist.net/anime/52034/Oshi_no_Ko,8.56,['Doga Kobo'],TV,11,"['Award Winning', 'Drama']",2023
Doupo Cangqiong: San Nian Zhi Yue,https://myanimelist.net/anime/49701/Doupo_Cangqiong__San_Nian_Zhi_Yue,8.56,['Motion Magic'],ONA,13,"['Action', 'Fantasy']",2021
Haikyuu!! To the Top Part 2,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2,8.56,['Production I.G'],TV,12,[],2020
Kimetsu no Yaiba Movie: Mugen Ressha-hen,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,8.55,['ufotable'],Movie,1,"['Action', 'Supernatural']",2020
Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,8.55,['Studio VOLN'],Movie,1,"['Drama', 'Romance']",2018
Perfect Blue,https://myanimelist.net/anime/437/Perfect_Blue,8.55,['Madhouse'],Movie,1,"['Avant Garde', 'Award Winning', 'Drama', 'Horror', 'Suspense']",1998
Shouwa Genroku Rakugo Shinjuu,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu,8.55,['Studio Deen'],TV,13,[],2016
Slam Dunk,https://myanimelist.net/anime/170/Slam_Dunk,8.55,['Toei Animation'],TV,101,[],1993
Uma Musume: Cinderella Gray,https://myanimelist.net/anime/59636/Uma_Musume__Cinderella_Gray,8.55,['CygamesPictures'],TV,13,"['Drama', 'Sports']",2025
Yojouhan Shinwa Taikei,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,8.55,['Madhouse'],TV,11,"['Award Winning', 'Comedy', 'Mystery', 'Romance', 'Suspense']",2010
[Oshi no Ko] 2nd Season,https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season,8.55,['Doga Kobo'],TV,13,[],2024
Steins;Gate 0,https://myanimelist.net/anime/30484/Steins_Gate_0,8.54,['White Fox'],TV,23,"['Drama', 'Sci-Fi', 'Suspense']",2018
Dandadan 2nd Season,https://myanimelist.net/anime/60543/Dandadan_2nd_Season,8.54,['Science SARU'],TV,12,"['Action', 'Comedy', 'Supernatural']",2025
Fate/Zero 2nd Season,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,8.54,['ufotable'],TV,12,"['Action', 'Fantasy']",2012
Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,8.54,['MAPPA'],TV,24,"['Action', 'Award Winning', 'Supernatural']",2020
Shingeki no Kyojin Season 2,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,8.53,['Wit Studio'],TV,12,"['Action', 'Drama', 'Suspense']",2017
Zoku Natsume Yuujinchou,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,8.53,"[""Brain's Base""]",TV,13,"['Slice of Life', 'Supernatural']",2009
Fruits Basket 2nd Season,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,8.53,['TMS Entertainment'],TV,25,"['Drama', 'Romance', 'Supernatural']",2020
Hotaru no Haka,https://myanimelist.net/anime/578/Hotaru_no_Haka,8.53,['Studio Ghibli'],Movie,1,[],1988
Bakuman. 3rd Season,https://myanimelist.net/anime/12365/Bakuman_3rd_Season,8.52,['J.C.Staff'],TV,25,"['Comedy', 'Drama', 'Romance']",2012
Gintama Movie 1: Shinyaku Benizakura-hen,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen,8.52,['Sunrise'],Movie,1,"['Action', 'Comedy', 'Sci-Fi']",2010
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,8.52,['David Production'],ONA,14,"['Action', 'Adventure']",2022
Mushishi: Hihamukage,https://myanimelist.net/anime/21329/Mushishi__Hihamukage,8.52,['Artland'],TV Special,1,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",2014
Samurai Champloo,https://myanimelist.net/anime/205/Samurai_Champloo,8.52,['Manglobe'],TV,26,"['Action', 'Adventure', 'Comedy']",2004
Shoujo☆Kageki Revue Starlight Movie,https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie,8.51,['Kinema Citrus'],Movie,1,[],2021
Gintama. Porori-hen,https://myanimelist.net/anime/35843/Gintama_Porori-hen,8.51,['Bandai Namco Pictures'],TV,13,"['Action', 'Comedy', 'Sci-Fi']",2017
Kara no Kyoukai Movie 5: Mujun Rasen,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen,8.51,['ufotable'],Movie,1,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Suspense']",2008
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG,8.51,['Production I.G'],TV,26,"['Action', 'Mystery', 'Sci-Fi']",2004
Nezha Zhi Mo Tong Nao Hai,https://myanimelist.net/anime/60544/Nezha_Zhi_Mo_Tong_Nao_Hai,8.51,['October Media'],Movie,1,"['Action', 'Comedy', 'Drama', 'Fantasy']",2025
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,8.50,['David Production'],TV,39,"['Action', 'Adventure']",2016
Sora yori mo Tooi Basho,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho,8.50,['Madhouse'],TV,13,"['Adventure', 'Comedy', 'Drama']",2018
