naslov,povezava,ocena,studii,tip,epizode,zvrsti,leto izdaje
Dead Dead Demons Dededede Destruction (ONA),https://myanimelist.net/anime/58883/Dead_Dead_Demons_Dededede_Destruction_ONA,7.92,['Production +h.'],ONA,17,"['Drama', 'Sci-Fi']",2024
Densetsu Kyojin Ideon: Hatsudou-hen,https://myanimelist.net/anime/2761/Densetsu_Kyojin_Ideon__Hatsudou-hen,7.92,['Sunrise'],Movie,1,"['Drama', 'Sci-Fi']",1982
Fanren Xiu Xian Chuan 2nd Season,https://myanimelist.net/anime/50207/Fanren_Xiu_Xian_Chuan_2nd_Season,7.92,"['Original Force', 'Wonder Cat Animation']",ONA,51,"['Action', 'Adventure', 'Fantasy']",2021
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,https://myanimelist.net/anime/34100/Fate_kaleid_liner_Prisma☆Illya_Movie__Sekka_no_Chikai,7.92,['SILVER LINK.'],Movie,1,"['Action', 'Fantasy']",2017
Gochuumon wa Usagi desu ka? Bloom,https://myanimelist.net/anime/38337/Gochuumon_wa_Usagi_desu_ka_Bloom,7.92,['Encourage Films'],TV,12,[],2020
Kizumonogatari: Koyomi Vamp,https://myanimelist.net/anime/56609/Kizumonogatari__Koyomi_Vamp,7.92,['Shaft'],Movie,1,"['Action', 'Mystery', 'Supernatural']",2024
Love Live! Superstar!!,https://myanimelist.net/anime/41169/Love_Live_Superstar,7.92,['Sunrise'],TV,12,[],2021
Mawaru Penguindrum,https://myanimelist.net/anime/10721/Mawaru_Penguindrum,7.92,"[""Brain's Base""]",TV,24,"['Avant Garde', 'Drama', 'Mystery', 'Supernatural', 'Suspense']",2011
Nekomonogatari: Kuro,https://myanimelist.net/anime/15689/Nekomonogatari__Kuro,7.92,['Shaft'],TV Special,4,"['Mystery', 'Romance', 'Supernatural', 'Ecchi']",2012
Niehime to Kemono no Ou,https://myanimelist.net/anime/46422/Niehime_to_Kemono_no_Ou,7.92,['J.C.Staff'],TV,24,"['Fantasy', 'Romance']",2023
Nurarihyon no Mago: Sennen Makyou,https://myanimelist.net/anime/10049/Nurarihyon_no_Mago__Sennen_Makyou,7.92,['Studio Deen'],TV,24,"['Action', 'Supernatural']",2011
One Piece Film: Strong World Episode 0,https://myanimelist.net/anime/8740/One_Piece_Film__Strong_World_Episode_0,7.92,['Toei Animation'],OVA,1,"['Adventure', 'Fantasy']",2010
Osomatsu-san,https://myanimelist.net/anime/31174/Osomatsu-san,7.92,['Studio Pierrot'],TV,25,[],2015
Phantom: Requiem for the Phantom,https://myanimelist.net/anime/5682/Phantom__Requiem_for_the_Phantom,7.92,['Bee Train'],TV,26,"['Action', 'Drama', 'Suspense']",2009
Tate no Yuusha no Nariagari,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari,7.92,['Kinema Citrus'],TV,25,"['Action', 'Adventure', 'Drama', 'Fantasy']",2019
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,https://myanimelist.net/anime/658/Touhai_Densetsu_Akagi__Yami_ni_Maiorita_Tensai,7.92,['Madhouse'],TV,26,[],2005
Usagi Drop Specials,https://myanimelist.net/anime/11113/Usagi_Drop_Specials,7.92,['Production I.G'],Special,4,[],2011
Wotaku ni Koi wa Muzukashii,https://myanimelist.net/anime/35968/Wotaku_ni_Koi_wa_Muzukashii,7.92,['A-1 Pictures'],TV,11,"['Comedy', 'Romance']",2018
xxxHOLiC Movie: Manatsu no Yoru no Yume,https://myanimelist.net/anime/793/xxxHOLiC_Movie__Manatsu_no_Yoru_no_Yume,7.92,['Production I.G'],Movie,1,"['Comedy', 'Drama', 'Mystery', 'Supernatural']",2005
Yowamushi Pedal,https://myanimelist.net/anime/18179/Yowamushi_Pedal,7.92,['TMS Entertainment'],TV,38,[],2013
Summer Ghost,https://myanimelist.net/anime/48171/Summer_Ghost,7.91,['Flat Studio'],Movie,1,"['Drama', 'Supernatural']",2021
Tamako Love Story,https://myanimelist.net/anime/21647/Tamako_Love_Story,7.91,['Kyoto Animation'],Movie,1,"['Award Winning', 'Romance']",2014
Yakitate!! Japan,https://myanimelist.net/anime/28/Yakitate_Japan,7.91,['Sunrise'],TV,69,"['Comedy', 'Gourmet']",2004
Yuru Yuri San☆Hai!,https://myanimelist.net/anime/30279/Yuru_Yuri_San☆Hai,7.91,['TYO Animations'],TV,12,"['Comedy', 'Girls Love']",2015
Atarashii Joushi wa Do Tennen,https://myanimelist.net/anime/55310/Atarashii_Joushi_wa_Do_Tennen,7.91,['A-1 Pictures'],TV,12,[],2023
Bungou Stray Dogs: Dead Apple,https://myanimelist.net/anime/34944/Bungou_Stray_Dogs__Dead_Apple,7.91,['Bones'],Movie,1,"['Action', 'Mystery']",2018
Cheng He Titong,https://myanimelist.net/anime/59001/Cheng_He_Titong,7.91,['Shengying Animation'],ONA,24,"['Comedy', 'Romance']",2024
Cike Wu Liuqi,https://myanimelist.net/anime/38409/Cike_Wu_Liuqi,7.91,"['Sharefun Studio', 'AHA Entertainment']",ONA,10,"['Action', 'Comedy', 'Drama', 'Mystery', 'Romance']",2018
City Hunter,https://myanimelist.net/anime/1470/City_Hunter,7.91,['Sunrise'],TV,51,"['Action', 'Comedy', 'Mystery']",1987
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,https://myanimelist.net/anime/2450/Crayon_Shin-chan_Movie_09__Arashi_wo_Yobu_Mouretsu_Otona_Teikoku_no_Gyakushuu,7.91,['Shin-Ei Animation'],Movie,1,"['Comedy', 'Sci-Fi']",2001
Eyeshield 21,https://myanimelist.net/anime/15/Eyeshield_21,7.91,['Gallop'],TV,145,[],2005
Full Metal Panic! The Second Raid,https://myanimelist.net/anime/73/Full_Metal_Panic_The_Second_Raid,7.91,['Kyoto Animation'],TV,13,[],2005
Hanamonogatari,https://myanimelist.net/anime/21855/Hanamonogatari,7.91,['Shaft'],TV Special,5,"['Comedy', 'Mystery', 'Supernatural']",2014
Initial D Third Stage,https://myanimelist.net/anime/187/Initial_D_Third_Stage,7.91,['Studio Deen'],Movie,1,"['Action', 'Drama']",2001
Jibaku Shounen Hanako-kun 2,https://myanimelist.net/anime/53924/Jibaku_Shounen_Hanako-kun_2,7.91,['Lerche'],TV,12,[],2025
Kaijuu 8-gou 2nd Season,https://myanimelist.net/anime/59177/Kaijuu_8-gou_2nd_Season,7.91,['Production I.G'],TV,11,"['Action', 'Fantasy', 'Sci-Fi']",2025
Kimi to Boku. 2,https://myanimelist.net/anime/11739/Kimi_to_Boku_2,7.91,['J.C.Staff'],TV,13,[],2012
Kobayashi-san Chi no Maid Dragon,https://myanimelist.net/anime/33206/Kobayashi-san_Chi_no_Maid_Dragon,7.91,['Kyoto Animation'],TV,13,"['Slice of Life', 'Supernatural']",2017
Kokoro Connect: Michi Random,https://myanimelist.net/anime/16001/Kokoro_Connect__Michi_Random,7.91,['SILVER LINK.'],Special,4,"['Drama', 'Romance', 'Supernatural']",2012
Les Misérables: Shoujo Cosette,https://myanimelist.net/anime/1695/Les_Misérables__Shoujo_Cosette,7.91,['Nippon Animation'],TV,52,[],2007
Love Live! The School Idol Movie,https://myanimelist.net/anime/24997/Love_Live_The_School_Idol_Movie,7.91,['Sunrise'],Movie,1,"['Award Winning', 'Slice of Life']",2015
Mahoutsukai no Yome Season 2 Part 2,https://myanimelist.net/anime/55742/Mahoutsukai_no_Yome_Season_2_Part_2,7.91,['Studio Kafka'],TV,12,"['Drama', 'Fantasy', 'Romance']",2023
Meitantei Conan Movie 27: 100-man Dollar no Michishirube,https://myanimelist.net/anime/56785/Meitantei_Conan_Movie_27__100-man_Dollar_no_Michishirube,7.91,['TMS Entertainment'],Movie,1,[],2024
One Piece: Gyojin Tou-hen,https://myanimelist.net/anime/60108/One_Piece__Gyojin_Tou-hen,7.91,['Toei Animation'],TV,21,"['Action', 'Adventure', 'Fantasy']",2024
Overlord III,https://myanimelist.net/anime/37675/Overlord_III,7.91,['Madhouse'],TV,13,"['Action', 'Adventure', 'Fantasy']",2018
Plastic Memories,https://myanimelist.net/anime/27775/Plastic_Memories,7.91,['Doga Kobo'],TV,13,"['Drama', 'Romance', 'Sci-Fi']",2015
Quanzhi Gaoshou 2,https://myanimelist.net/anime/37932/Quanzhi_Gaoshou_2,7.91,['Colored Pencil Animation'],ONA,12,[],2020
Rock wa Lady no Tashinami deshite,https://myanimelist.net/anime/59360/Rock_wa_Lady_no_Tashinami_deshite,7.91,['Bandai Namco Pictures'],TV,13,[],2025
Kaleido Star,https://myanimelist.net/anime/427/Kaleido_Star,7.90,['Gonzo'],TV,51,"['Comedy', 'Drama', 'Supernatural']",2003
Karigurashi no Arrietty,https://myanimelist.net/anime/7711/Karigurashi_no_Arrietty,7.90,['Studio Ghibli'],Movie,1,"['Award Winning', 'Supernatural']",2010
Kuuchuu Buranko,https://myanimelist.net/anime/6774/Kuuchuu_Buranko,7.90,['Toei Animation'],TV,11,"['Avant Garde', 'Drama']",2009
Log Horizon,https://myanimelist.net/anime/17265/Log_Horizon,7.90,['Satelight'],TV,25,"['Action', 'Adventure', 'Fantasy']",2013
Meitantei Conan OVA 09: 10-nengo no Stranger,https://myanimelist.net/anime/6438/Meitantei_Conan_OVA_09__10-nengo_no_Stranger,7.90,['TMS Entertainment'],OVA,1,"['Adventure', 'Comedy', 'Mystery']",2009
Overlord,https://myanimelist.net/anime/29803/Overlord,7.90,['Madhouse'],TV,13,"['Action', 'Adventure', 'Fantasy']",2015
Shen Yin Wangzuo Movie: Yi Lai Ke Si Chuanqi,https://myanimelist.net/anime/61508/Shen_Yin_Wangzuo_Movie__Yi_Lai_Ke_Si_Chuanqi,7.90,['Shenman Entertainment'],ONA,1,"['Action', 'Adventure', 'Fantasy']",2025
Trigun: Badlands Rumble,https://myanimelist.net/anime/4106/Trigun__Badlands_Rumble,7.90,['Madhouse'],Movie,1,"['Action', 'Adventure', 'Sci-Fi']",2010
Vanitas no Karte,https://myanimelist.net/anime/48580/Vanitas_no_Karte,7.90,['Bones'],TV,12,"['Action', 'Fantasy', 'Mystery']",2021
Yuri!!! on Ice,https://myanimelist.net/anime/32995/Yuri_on_Ice,7.90,['MAPPA'],TV,12,"['Award Winning', 'Sports']",2016
Berserk: Ougon Jidai-hen - Memorial Edition,https://myanimelist.net/anime/52976/Berserk__Ougon_Jidai-hen_-_Memorial_Edition,7.90,['Studio 4°C'],TV,13,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",2022
Bishoujo Senshi Sailor Moon S,https://myanimelist.net/anime/532/Bishoujo_Senshi_Sailor_Moon_S,7.90,['Toei Animation'],TV,38,[],1994
City The Animation,https://myanimelist.net/anime/59898/City_The_Animation,7.90,['Kyoto Animation'],TV,13,[],2025
Code Geass: Fukkatsu no Lelouch,https://myanimelist.net/anime/34437/Code_Geass__Fukkatsu_no_Lelouch,7.90,['Sunrise'],Movie,1,"['Action', 'Drama', 'Sci-Fi']",2019
Darker than Black: Kuro no Keiyakusha Gaiden,https://myanimelist.net/anime/7338/Darker_than_Black__Kuro_no_Keiyakusha_Gaiden,7.90,['Bones'],Special,4,"['Action', 'Mystery']",2010
Date A Live II: Kurumi Star Festival,https://myanimelist.net/anime/22961/Date_A_Live_II__Kurumi_Star_Festival,7.90,['Production IMS'],OVA,1,[],2014
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,https://myanimelist.net/anime/57066/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_V__Houjou_no_Megami-hen,7.90,['J.C.Staff'],TV,15,"['Action', 'Adventure', 'Fantasy']",2024
Ergo Proxy,https://myanimelist.net/anime/790/Ergo_Proxy,7.90,['Manglobe'],TV,23,"['Mystery', 'Sci-Fi', 'Suspense']",2006
Gakuen Babysitters,https://myanimelist.net/anime/35222/Gakuen_Babysitters,7.90,"[""Brain's Base""]",TV,12,[],2018
Hidamari Sketch x ☆☆☆,https://myanimelist.net/anime/7062/Hidamari_Sketch_x_☆☆☆,7.90,['Shaft'],TV,12,[],2010
IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,https://myanimelist.net/anime/54118/IDOLiSH7_Movie__LIVE_4bit_-_BEYOND_THE_PERiOD,7.90,['Orange'],Movie,2,[],2023
Ie Naki Ko Remy,https://myanimelist.net/anime/2829/Ie_Naki_Ko_Remy,7.90,['Nippon Animation'],TV,23,"['Adventure', 'Drama']",1996
Final Fantasy VII: Advent Children Complete,https://myanimelist.net/anime/2952/Final_Fantasy_VII__Advent_Children_Complete,7.89,['Square Enix Visual Works'],OVA,1,"['Action', 'Fantasy']",2009
Ginga Sengoku Gunyuuden Rai,https://myanimelist.net/anime/3907/Ginga_Sengoku_Gunyuuden_Rai,7.89,['E&G Films'],TV,52,"['Adventure', 'Romance', 'Sci-Fi']",1994
Hanasaku Iroha,https://myanimelist.net/anime/9289/Hanasaku_Iroha,7.89,['P.A. Works'],TV,26,[],2011
Kidou Senshi Gundam: Suisei no Majo Season 2,https://myanimelist.net/anime/53199/Kidou_Senshi_Gundam__Suisei_no_Majo_Season_2,7.89,['Sunrise'],TV,12,"['Action', 'Sci-Fi']",2023
Kidou Senshi Zeta Gundam,https://myanimelist.net/anime/85/Kidou_Senshi_Zeta_Gundam,7.89,['Sunrise'],TV,50,"['Action', 'Drama', 'Romance', 'Sci-Fi']",1985
Love Live! Superstar!! 3rd Season,https://myanimelist.net/anime/53287/Love_Live_Superstar_3rd_Season,7.89,['Sunrise'],TV,12,[],2024
Lupin III (2015),https://myanimelist.net/anime/27947/Lupin_III_2015,7.89,['Telecom Animation Film'],TV,24,"['Action', 'Adventure', 'Comedy', 'Mystery']",2015
