anime id,studio
38668,MAPPA
227,Gainax
227,Production I.G
268,APPP
8425,Bones
50587,Trigger
23317,A-1 Pictures
781,TMS Entertainment
59953,Sparkly Key Animation Studio
19815,Madhouse
21557,Studio Ghibli
4155,Toei Animation
1943,Madhouse
59459,Studio Gokumi
40907,Toei Animation
1559,TMS Entertainment
25013,Studio Pierrot
889,Madhouse
51836,Sparkly Key Animation Studio
27821,ufotable
59062,Bones Film
54791,Lerche
59654,MAPPA
18679,Trigger
2034,Toei Animation
1363,TMS Entertainment
1506,TMS Entertainment
38993,Shin-Ei Animation
41402,Bandai Namco Pictures
49430,ABJ COMPANY
34822,feel.
42640,Fenz
42640,HMCH
4918,Production I.G
33161,feel.
53410,8bit
4901,Madhouse
2164,Madhouse
72,Kyoto Animation
589,Toei Animation
1974,Tokyo Movie Shinsha
27989,Kyoto Animation
39783,Bibury Animation Studios
153,Studio Pierrot
3783,ufotable
1096,Production I.G
6045,Production I.G
34626,Studio Deen
14513,A-1 Pictures
52107,EOTA
20,Studio Pierrot
9204,Ajia-do
44235,Shin-Ei Animation
59145,MAPPA
49782,CloverWorks
535,E&G Films
5681,Madhouse
44931,Seven Arcs
49587,Fenz
49587,HMCH
1914,Madhouse
42923,Bones
16049,J.C.Staff
6211,Bones
6211,Kinema Citrus
14813,Brain's Base
59226,Studio VOLN
27663,Studio Pierrot
41781,SANZIGEN
1482,TMS Entertainment
2759,Khara
6421,Bones
61339,Lerche
82,Sunrise
9963,TMS Entertainment
7054,J.C.Staff
81,Sunrise
50631,OLM
6171,TMS Entertainment
5365,Oh! Production
40174,MAPPA
37870,SANZIGEN
2167,Kyoto Animation
2563,HAL Film Maker
48585,Studio Pierrot
269,Studio Pierrot
36456,Bones
42250,Bones
42250,Nomad
223,Toei Animation
4789,Shaft
3167,Studio Rikka
16,J.C.Staff
387,Radix
2004,Madhouse
16706,Manglobe
14807,ufotable
9656,Production I.G
35788,J.C.Staff
1065,Group TAC
1023,Bones
35382,MAPPA
846,Studio Comet
23777,Wit Studio
41611,Fenz
41611,HMCH
861,Production I.G
31173,Bones
34440,Sunrise
23199,Shuka
39468,Ajia-do
40716,Ajia-do
2448,Production I.G
4672,Production I.G
416,Studio Ghibli
60726,Wit Studio
30015,TMS Entertainment
59497,Lay-duce
