anime_id,zvrst
52293,Ecchi
4938,Action
4938,Adventure
4938,Drama
4938,Fantasy
4938,Romance
28025,Comedy
28025,Mystery
28025,Supernatural
28025,Ecchi
58689,Action
58689,Drama
58689,Fantasy
23283,Mystery
23283,Suspense
59306,Action
59306,Fantasy
59306,Suspense
3901,Action
3901,Mystery
3901,Supernatural
3016,Action
3016,Drama
3016,Sci-Fi
2951,Action
2951,Comedy
2951,Sci-Fi
24833,Action
24833,Comedy
36369,Drama
36369,Sci-Fi
135,Comedy
135,Drama
135,Supernatural
18661,Comedy
18661,Romance
18661,Supernatural
39198,Adventure
39198,Award Winning
39198,Mystery
39198,Sci-Fi
39198,Suspense
3927,Action
3927,Drama
3927,Sci-Fi
48895,Action
48895,Adventure
48895,Fantasy
4722,Comedy
4722,Drama
4722,Romance
34076,Drama
34076,Supernatural
51096,Drama
51096,Suspense
32282,Gourmet
32282,Ecchi
53887,Action
53887,Comedy
44218,Action
44218,Adventure
44218,Fantasy
44218,Sci-Fi
1471,Action
1471,Comedy
1471,Mystery
3665,Action
3665,Drama
3665,Sci-Fi
10643,Action
10643,Comedy
56980,Drama
56980,Fantasy
31251,Action
31251,Drama
31251,Sci-Fi
2449,Action
2449,Mystery
2449,Sci-Fi
2449,Suspense
22145,Action
22145,Mystery
22145,Supernatural
31149,Action
31149,Supernatural
51367,Action
51367,Adventure
1486,Comedy
1486,Drama
1486,Romance
237,Action
237,Adventure
237,Drama
237,Romance
237,Sci-Fi
851,Action
851,Comedy
35062,Drama
35062,Fantasy
35062,Romance
1367,Adventure
1367,Comedy
1367,Mystery
21419,Action
21419,Mystery
49320,Action
49320,Mystery
56063,Action
56063,Fantasy
56063,Sci-Fi
1257,Action
1257,Adventure
1257,Fantasy
1257,Sci-Fi
13759,Drama
13759,Romance
4224,Drama
4224,Romance
6547,Drama
6547,Fantasy
27833,Action
27833,Mystery
27833,Supernatural
12189,Mystery
12189,Slice of Life
2025,Action
2025,Mystery
38668,Action
38668,Comedy
38668,Fantasy
38668,Horror
227,Action
227,Avant Garde
227,Comedy
227,Sci-Fi
227,Suspense
268,Adventure
268,Comedy
268,Ecchi
8425,Drama
8425,Mystery
8425,Romance
50587,Action
50587,Sci-Fi
23317,Action
23317,Mystery
23317,Supernatural
781,Adventure
781,Comedy
781,Mystery
59953,Action
59953,Adventure
59953,Fantasy
19815,Comedy
19815,Fantasy
19815,Ecchi
21557,Drama
21557,Mystery
21557,Suspense
4155,Action
4155,Adventure
4155,Fantasy
1943,Avant Garde
1943,Award Winning
1943,Mystery
1943,Sci-Fi
1943,Suspense
40907,Action
40907,Sci-Fi
1559,Action
1559,Comedy
25013,Adventure
25013,Fantasy
25013,Romance
51836,Action
51836,Adventure
51836,Fantasy
27821,Action
27821,Fantasy
59062,Action
59062,Fantasy
54791,Boys Love
54791,Drama
59654,Action
59654,Supernatural
18679,Action
18679,Comedy
18679,Fantasy
18679,Ecchi
2034,Comedy
2034,Romance
1363,Adventure
1363,Comedy
1363,Mystery
1506,Adventure
1506,Comedy
1506,Mystery
38993,Comedy
38993,Romance
41402,Comedy
41402,Fantasy
49430,Boys Love
49430,Drama
42640,Comedy
42640,Fantasy
4918,Comedy
4918,Drama
4918,Mystery
4918,Supernatural
33161,Comedy
33161,Romance
2164,Adventure
2164,Award Winning
2164,Drama
2164,Mystery
2164,Sci-Fi
72,Action
72,Comedy
589,Action
589,Adventure
589,Drama
1974,Drama
1974,Romance
39783,Comedy
39783,Romance
153,Action
153,Adventure
153,Fantasy
3783,Action
3783,Drama
3783,Fantasy
3783,Mystery
3783,Suspense
1096,Action
1096,Award Winning
1096,Drama
1096,Mystery
1096,Sci-Fi
6045,Drama
6045,Romance
34626,Adventure
34626,Comedy
34626,Fantasy
14513,Action
14513,Adventure
14513,Fantasy
52107,Horror
52107,Mystery
52107,Supernatural
52107,Suspense
20,Action
20,Adventure
20,Fantasy
9204,Action
9204,Adventure
9204,Fantasy
59145,Action
59145,Comedy
59145,Romance
59145,Ecchi
49782,Fantasy
49782,Mystery
535,Action
535,Adventure
535,Comedy
535,Fantasy
5681,Award Winning
5681,Comedy
5681,Sci-Fi
44931,Comedy
44931,Romance
49587,Comedy
49587,Fantasy
1914,Adventure
1914,Fantasy
1914,Romance
16049,Action
16049,Fantasy
16049,Sci-Fi
6211,Award Winning
6211,Drama
14813,Comedy
14813,Romance
59226,Action
59226,Supernatural
1482,Action
1482,Adventure
1482,Fantasy
2759,Action
2759,Award Winning
2759,Drama
2759,Sci-Fi
2759,Suspense
6421,Action
6421,Adventure
6421,Drama
6421,Fantasy
82,Action
82,Drama
82,Sci-Fi
9963,Adventure
9963,Comedy
9963,Mystery
7054,Comedy
7054,Romance
81,Action
81,Adventure
81,Drama
81,Romance
81,Sci-Fi
6171,Action
6171,Adventure
6171,Fantasy
5365,Award Winning
5365,Drama
40174,Comedy
40174,Supernatural
2167,Drama
2167,Romance
2563,Sci-Fi
2563,Slice of Life
48585,Action
48585,Comedy
48585,Fantasy
269,Action
269,Adventure
269,Supernatural
223,Action
223,Adventure
223,Comedy
223,Fantasy
4789,Drama
4789,Mystery
4789,Romance
4789,Supernatural
3167,Sci-Fi
3167,Slice of Life
16,Comedy
16,Drama
16,Romance
387,Drama
387,Fantasy
387,Mystery
2004,Comedy
2004,Drama
2004,Supernatural
16706,Comedy
16706,Romance
16706,Supernatural
14807,Drama
14807,Mystery
14807,Supernatural
9656,Drama
9656,Romance
35788,Gourmet
35788,Ecchi
1065,Drama
1065,Romance
1065,Sports
1023,Action
1023,Adventure
1023,Drama
1023,Fantasy
846,Comedy
846,Romance
23777,Action
23777,Drama
23777,Suspense
41611,Comedy
41611,Fantasy
861,Comedy
861,Drama
861,Mystery
861,Supernatural
31173,Drama
31173,Romance
34440,Action
34440,Sci-Fi
23199,Action
23199,Mystery
23199,Supernatural
2448,Action
2448,Sci-Fi
4672,Action
4672,Mystery
4672,Sci-Fi
4672,Suspense
416,Action
416,Adventure
416,Award Winning
416,Comedy
416,Drama
416,Romance
30015,Drama
30015,Romance
401,Drama
401,Romance
543,Action
543,Drama
543,Fantasy
543,Horror
543,Romance
543,Sci-Fi
32615,Action
32615,Fantasy
27831,Action
27831,Mystery
27831,Supernatural
2890,Adventure
2890,Award Winning
2890,Fantasy
967,Action
967,Drama
967,Sci-Fi
54915,Comedy
54915,Romance
48411,Sci-Fi
48411,Slice of Life
996,Adventure
996,Comedy
996,Drama
996,Romance
7465,Sci-Fi
7465,Slice of Life
38422,Comedy
38422,Romance
77,Action
77,Comedy
77,Drama
40397,Comedy
40397,Fantasy
50593,Drama
50593,Mystery
50593,Romance
50593,Supernatural
42916,Action
42916,Adventure
42916,Fantasy
59939,Action
59939,Adventure
59939,Fantasy
59939,Sci-Fi
25879,Comedy
25879,Romance
50346,Romance
50346,Supernatural
51180,Drama
51180,Suspense
36702,Action
36702,Drama
36702,Suspense
2154,Action
2154,Adventure
2154,Award Winning
2154,Supernatural
2154,Suspense
41923,Action
41923,Comedy
41923,Fantasy
59077,Action
59077,Fantasy
59077,Sci-Fi
37150,Action
37150,Adventure
37150,Fantasy
37150,Romance
38084,Action
38084,Fantasy
39570,Comedy
39570,Romance
1530,Drama
1530,Romance
1530,Supernatural
31973,Action
31973,Drama
31973,Sci-Fi
33221,Action
33221,Drama
33221,Sci-Fi
5678,Drama
5678,Romance
5678,Supernatural
7222,Action
7222,Award Winning
7222,Romance
7222,Sci-Fi
16067,Drama
16067,Fantasy
16067,Romance
20507,Action
